,original sentence,corrected sentence,error indices,corrected indices,error-corr pair,error label,l1,Approximate level,split
663,"Det finns många affärer och resturanger nära , och Skolgatan tunnelbanestation ligger  bara 200m bort att promenera till .","Det finns många affärer och resturanger nära , och Skolgatan tunnelbanestation ligger  bara 200 m bort att promenera till .",92-95,92-96,200m--200 m,O-Comp,Engelska,Nybörjare,train
664,"␤ Förre jag flyttade till Sverige bodde jag i ett stort radhus i D-stad , C-land .","␤ Innan jag flyttade till Sverige bodde jag i ett stort radhus i D-stad , C-land .",2-6,2-6,Förre--Innan,L-W,Engelska,Nybörjare,train
665,"D-stad är mycket dyrt , så jag planerade att flytta till Sverige till att studera datavetenskap på C-skola .","D-stad är mycket dyrt , så jag planerade att flytta till Sverige för att studera datavetenskap på C-skola .",65-68,65-67,till--för,L-W,Engelska,Nybörjare,train
666,Jag bor i Segerstad på en lägenhet .,Jag bor i Segerstad i en lägenhet .,20-21,20-20,på--i,L-W,Spanska,Nybörjare,train
667,"Jag bodde i B-land för , i C-stad .","Jag bodde i B-land förut , i C-stad .",19-21,19-23,för--förut,L-W,Spanska,Nybörjare,train
668,Jag tror det är svårt att få vänner här .,Jag tycker det är svårt att få vänner här .,4-7,4-9,tror--tycker,L-W,Spanska,Nybörjare,train
669,I C-stad jobbet jag bara på en nätsida .,I C-stad jobbade jag bara på en nätsida .,9-14,9-15,jobbet--jobbade,L-Der,Spanska,Nybörjare,train
670,Jag är webbutvikler .,Jag är webbutvecklare .,7-18,7-20,webbutvikler--webbutvecklare,L-FL,Spanska,Nybörjare,train
671,Jag såg henne köpa i mataffären och jag blev förvånad över hennes skönhet .,Jag såg henne handla i mataffären och jag blev förvånad över hennes skönhet .,14-17,14-19,köpa--handla,L-W,Arabiska,Nybörjare,train
672,Jag såg henne handla från mataffären och jag blev förvånad över hennes skönhet .,Jag såg henne handla i mataffären och jag blev förvånad över hennes skönhet .,21-24,21-21,från--i,L-W,Arabiska,Nybörjare,train
673,Jag var blyg av mig så jag spårade tills jag hittade hennes hem och bad henne och pjäsen idag dig varje morgon jag går att se det och låta dig gå till skolan .,Jag var blyg av mig så jag letade tills jag hittade hennes hem och bad henne och pjäsen idag dig varje morgon jag går att se det och låta dig gå till skolan .,27-33,27-32,spårade--letade,L-W,Arabiska,Nybörjare,train
674,Jag var blyg av mig så jag letade tills jag kände hennes hem och bad henne och pjäsen idag dig varje morgon jag går att se det och låta dig gå till skolan .,Jag var blyg av mig så jag letade tills jag hittade hennes hem och bad henne och pjäsen idag dig varje morgon jag går att se det och låta dig gå till skolan .,44-48,44-50,kände--hittade,L-W,Arabiska,Nybörjare,train
675,då skyndade hon hem .,Sedan skyndade hon hem .,0-1,0-4,då--Sedan,L-W,Arabiska,Nybörjare,train
676,Nästa dag kom hon till mig och berättade samma sak för mig och jag var väldigt glad och vi träffades varje dag .,Nästa dag kom hon till mig och berättade samma sak för mig och jag blev väldigt glad och vi träffades varje dag .,67-69,67-70,var--blev,L-W,Arabiska,Nybörjare,train
677,Jag kom till Sverige för 3 årsen .,Jag kom till Sverige för 3 år sen .,27-31,27-32,årsen--år sen,O-Comp,Kurdiska,Nybörjare,train
678,Då utgör hon en bågskyttetävling som gör prinsessan ( henne ) förbannad .,Då genomför hon en bågskyttetävling som gör prinsessan ( henne ) förbannad .,3-7,3-10,utgör--genomför,L-W,"Dari, Persiska",Avancerad,train
679,"Hon ger sig iväg , vilket leder till en häxa som lägger drottningens liv på spel .","Hon ger sig iväg , vilket leder till en häxa som sätter drottningens liv på spel .",49-54,49-54,lägger--sätter,L-W,"Dari, Persiska",Avancerad,train
680,"Hon ger sig iväg , vilket leder till en häxa som sätter drottningens liv i spel .","Hon ger sig iväg , vilket leder till en häxa som sätter drottningens liv på spel .",73-73,73-74,i--på,L-W,"Dari, Persiska",Avancerad,train
681,"Under denna tid lär sig prinsessan att hantera konflikter , dessutom återhämtar hon den förlorade kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två följande dygnen .","Under denna tid lär sig prinsessan att hantera konflikter , dessutom återupprättar hon den förlorade kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två följande dygnen .",69-78,69-81,återhämtar--återupprättar,L-W,"Dari, Persiska",Avancerad,train
682,"Under denna tid lär sig prinsessan att hantera konflikter , dessutom återupprättar hon den vilse kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två följande dygnen .","Under denna tid lär sig prinsessan att hantera konflikter , dessutom återupprättar hon den förlorade kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två följande dygnen .",91-95,91-99,vilse--förlorade,L-W,"Dari, Persiska",Avancerad,train
683,"Under denna tid lär sig prinsessan att hantera konflikter , dessutom återupprättar hon den förlorade kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två löpande dygnen .","Under denna tid lär sig prinsessan att hantera konflikter , dessutom återupprättar hon den förlorade kärleken mellan klanerna ( lorderna ) , och hon lyckas att förvandla mamman tillbaka till människa under de två följande dygnen .",213-219,213-220,löpande--följande,L-W,"Dari, Persiska",Avancerad,train
684,Temat till filmen Modig är familjens heder .,Temat för filmen Modig är familjens heder .,6-9,6-8,till--för,L-W,"Dari, Persiska",Avancerad,train
685,"Detta syns inte så tydligt i anslaget , fördjupningen och presentations fas som man förväntar sig , men man kan gissa det när de presenterar lorderna och när mamman försöker undvika prinsessan med sina barnsliga vanor och även vill att prinsessan ska växa upp och sköta sina plikter och försöka komma in i en vuxen värld .","Detta syns inte så tydligt i anslaget , fördjupningen och presentationsfasen som man förväntar sig , men man kan gissa det när de presenterar lorderna och när mamman försöker undvika prinsessan med sina barnsliga vanor och även vill att prinsessan ska växa upp och sköta sina plikter och försöka komma in i en vuxen värld .",58-74,58-75,presentations fas--presentationsfasen,O-Comp,"Dari, Persiska",Avancerad,train
686,"Detta syns inte så tydligt i anslaget , fördjupningen och presentationsfasen som man förväntar sig , men man kan gissa det när de presenterar lorderna och att mamman försöker undvika prinsessan med sina barnsliga vanor och även vill att prinsessan ska växa upp och sköta sina plikter och försöka komma in i en vuxen värld .","Detta syns inte så tydligt i anslaget , fördjupningen och presentationsfasen som man förväntar sig , men man kan gissa det när de presenterar lorderna och när mamman försöker undvika prinsessan med sina barnsliga vanor och även vill att prinsessan ska växa upp och sköta sina plikter och försöka komma in i en vuxen värld .",155-157,155-157,att--när,L-W,"Dari, Persiska",Avancerad,train
687,"Detta syns inte så tydligt i anslaget , fördjupningen och presentationsfasen som man förväntar sig , men man kan gissa det när de presenterar lorderna och när mamman försöker undvika prinsessan med sina barnsliga vanor och även vill att prinsessan ska växa upp och ta sina plikter och försöka komma in i en vuxen värld .","Detta syns inte så tydligt i anslaget , fördjupningen och presentationsfasen som man förväntar sig , men man kan gissa det när de presenterar lorderna och när mamman försöker undvika prinsessan med sina barnsliga vanor och även vill att prinsessan ska växa upp och sköta sina plikter och försöka komma in i en vuxen värld .",265-266,265-269,ta--sköta,L-W,"Dari, Persiska",Avancerad,train
688,"Efter detta kommer konfliktens upptrappning , klimax , vändpunkt och avtoning som inte påpekar om temat utan om kungarikets bakgrund , dess kärlek och till och med familjens kärlek när hon måste sy ihop mattan med familjens bild .","Efter detta kommer konfliktens upptrappning , klimax , vändpunkt och avtoning som inte handlar om temat utan om kungarikets bakgrund , dess kärlek och till och med familjens kärlek när hon måste sy ihop mattan med familjens bild .",87-93,87-93,påpekar--handlar,L-W,"Dari, Persiska",Avancerad,train
689,"Efter detta kommer konfliktens upptrappning , klimax , vändpunkt och avtoning som inte handlar om temat utan om kungarikets bakgrund , dess kärlek och till och med familjens kärlek som hon måste sy ihop mattan med familjens bild .","Efter detta kommer konfliktens upptrappning , klimax , vändpunkt och avtoning som inte handlar om temat utan om kungarikets bakgrund , dess kärlek och till och med familjens kärlek när hon måste sy ihop mattan med familjens bild .",181-183,181-183,som--när,L-W,"Dari, Persiska",Avancerad,train
690,"Oavsett hur mycket pappan än anstränger sig , lyckas pappan inte med att försätta deras äktenskap .","Oavsett hur mycket pappan än anstränger sig , lyckas pappan inte med att bevara deras äktenskap .",73-80,73-78,försätta--bevara,L-W,"Dari, Persiska",Avancerad,train
691,"Temat till Stjärnlösa nätter är redig redan i anslaget och fördjupningen , där det visas att killen inte har någon bra kommunikation med sin fader .","Temat till Stjärnlösa nätter är tydligt redan i anslaget och fördjupningen , där det visas att killen inte har någon bra kommunikation med sin fader .",32-36,32-38,redig--tydligt,L-W,"Dari, Persiska",Avancerad,train
692,Senare tar man reda på småsyskonens reaktion på resan till Kurdistan .,Senare får man reda på småsyskonens reaktion på resan till Kurdistan .,7-9,7-9,tar--får,L-W,"Dari, Persiska",Avancerad,train
693,Senare får man reda på små syskons reaktion på resan till Kurdistan .,Senare får man reda på småsyskonens reaktion på resan till Kurdistan .,23-33,23-34,små syskons--småsyskonens,O-Comp,"Dari, Persiska",Avancerad,train
694,Senare får man reda på småsyskonens reaktion angående resan till Kurdistan .,Senare får man reda på småsyskonens reaktion på resan till Kurdistan .,45-52,45-46,angående--på,L-W,"Dari, Persiska",Avancerad,train
695,"I presentation fasen nämner pappan sitt land , sin kultur , sina traditioner och hur värdefullt och älskat hans land är fast Amar har varit ointresserad .","I presentationsfasen nämner pappan sitt land , sin kultur , sina traditioner och hur värdefullt och älskat hans land är fast Amar har varit ointresserad .",2-19,2-19,presentation fasen--presentationsfasen,O-Comp,"Dari, Persiska",Avancerad,train
696,"En jämförelse mellan Modig och Stjärnlösa nätter är att i filmen Modig så kommer pressen från mamman , och det har till och med visats i forskning att det vanligtvis brukar vara mammor som är drivande i brottet , alltså att tvinga barnen att offra sina liv pga familjens heder .","En jämförelse mellan Modig och Stjärnlösa nätter visar att i filmen Modig så kommer pressen från mamman , och det har till och med visats i forskning att det vanligtvis brukar vara mammor som är drivande i brottet , alltså att tvinga barnen att offra sina liv pga familjens heder .",49-50,49-53,är--visar,L-W,"Dari, Persiska",Avancerad,train
697,"En jämförelse mellan Modig och Stjärnlösa nätter visar att i filmen Modig så kommer pressen from mamman , och det har till och med visats i forskning att det vanligtvis brukar vara mammor som är drivande i brottet , alltså att tvinga barnen att offra sina liv pga familjens heder .","En jämförelse mellan Modig och Stjärnlösa nätter visar att i filmen Modig så kommer pressen från mamman , och det har till och med visats i forskning att det vanligtvis brukar vara mammor som är drivande i brottet , alltså att tvinga barnen att offra sina liv pga familjens heder .",92-95,92-95,from--från,L-FL,"Dari, Persiska",Avancerad,train
698,"I filmen Modig är personen som ska bli offrad en tjej , vilket påpekar att speciellt tjejen ska bevara familjens heder och kungarikets heder , och filmen handlar om familjens heder i en kunglig familj på 1400-talet .","I filmen Modig är personen som ska bli offrad en tjej , vilket visar att speciellt tjejen ska bevara familjens heder och kungarikets heder , och filmen handlar om familjens heder i en kunglig familj på 1400-talet .",63-69,63-67,påpekar--visar,L-W,"Dari, Persiska",Avancerad,train
699,"I filmen Modig är personen som ska bli offrad en tjej , vilket visar att speciellt tjejen ska hålla familjens heder och kungarikets heder , och filmen handlar om familjens heder i en kunglig familj på 1400-talet .","I filmen Modig är personen som ska bli offrad en tjej , vilket visar att speciellt tjejen ska bevara familjens heder och kungarikets heder , och filmen handlar om familjens heder i en kunglig familj på 1400-talet .",94-98,94-99,hålla--bevara,L-W,"Dari, Persiska",Avancerad,train
700,"I filmen Modig är personen som ska bli offrad en tjej , vilket visar att speciellt tjejen ska bevara familjens heder och kungarikets heder , och filmen handlar om familjens heder i en kunglig familj i 1400-talet .","I filmen Modig är personen som ska bli offrad en tjej , vilket visar att speciellt tjejen ska bevara familjens heder och kungarikets heder , och filmen handlar om familjens heder i en kunglig familj på 1400-talet .",199-199,199-200,i--på,L-W,"Dari, Persiska",Avancerad,train
701,"Stjärnlösa nätter är baserad i dagens samhälle , speciellt när människor med helt olika kultur och tradition utvandrar till ett annat land och lever med sina egna tankar och sätt fast de ej är medvetna om att det är olagligt i det nya samhället .","Stjärnlösa nätter handlar om dagens samhälle , speciellt när människor med helt olika kultur och tradition utvandrar till ett annat land och lever med sina egna tankar och sätt fast de ej är medvetna om att det är olagligt i det nya samhället .",18-29,18-27,är baserad i--handlar om,L-W,"Dari, Persiska",Avancerad,train
702,"Stjärnlösa nätter handlar om dagens samhälle , speciellt när folk med helt olika kultur och tradition utvandrar till ett annat land och lever med sina egna tankar och sätt fast de ej är medvetna om att det är olagligt i det nya samhället .","Stjärnlösa nätter handlar om dagens samhälle , speciellt när människor med helt olika kultur och tradition utvandrar till ett annat land och lever med sina egna tankar och sätt fast de ej är medvetna om att det är olagligt i det nya samhället .",61-64,61-69,folk--människor,L-W,"Dari, Persiska",Avancerad,train
703,"Stjärnlösa nätter handlar om dagens samhälle , speciellt när människor med helt olika kultur och tradition vandrar till ett annat land och lever med sina egna tankar och sätt fast de ej är medvetna om att det är olagligt i det nya samhället .","Stjärnlösa nätter handlar om dagens samhälle , speciellt när människor med helt olika kultur och tradition utvandrar till ett annat land och lever med sina egna tankar och sätt fast de ej är medvetna om att det är olagligt i det nya samhället .",107-113,107-115,vandrar--utvandrar,L-Der,"Dari, Persiska",Avancerad,train
704,"Skillnaden är att i Stjärnlösa nätter så är det en man , alltså pappan , som offrar sin sons liv med kanske lite våld och tryck , vilket enligt forskning händer sällan , att pappan är drivande i ett sådant brott , alltså ett brott relaterat till familjens heder .","Skillnaden är att i Stjärnlösa nätter så är det en man , alltså pappan , som offrar sin sons liv med kanske lite våld och påtryckningar , vilket enligt forskning händer sällan , att pappan är drivande i ett sådant brott , alltså ett brott relaterat till familjens heder .",122-126,122-134,tryck--påtryckningar,L-Der,"Dari, Persiska",Avancerad,train
705,"Skillnaden är att i Stjärnlösa nätter så är det en man , alltså pappan , som offrar sin sons liv med kanske lite våld och påtryckningar , vilket enligt forskning händer få gånger , att pappan är drivande i ett sådant brott , alltså ett brott relaterat till familjens heder .","Skillnaden är att i Stjärnlösa nätter så är det en man , alltså pappan , som offrar sin sons liv med kanske lite våld och påtryckningar , vilket enligt forskning händer sällan , att pappan är drivande i ett sådant brott , alltså ett brott relaterat till familjens heder .",169-177,169-174,få gånger--sällan,L-W,"Dari, Persiska",Avancerad,train
706,"Med hjälp av dessa litterära verk så kan man dra slutsatsen att familjens heder är oerhört viktig enligt de vuxna , och detta har i de största fall en negativ effekt på barnens liv , alltså de blir offrade pga det .","Med hjälp av dessa litterära verk så kan man dra slutsatsen att familjens heder är oerhört viktig enligt de vuxna , och detta har i de flesta fall en negativ effekt på barnens liv , alltså de blir offrade pga det .",135-141,135-140,största--flesta,L-W,"Dari, Persiska",Avancerad,train
707,"Verken visar att barnen kan till och med bli hjärntvättade av sina föräldrar i vissa fall , för då blir barnen troende , och det kan vara så att barnen är föräldrarnas förlänga arm och att de har fostrats in i tron att de inte ska visa svaghet för sina föräldrar .","Verken visar att barnen kan till och med bli hjärntvättade av sina föräldrar i vissa fall , för då blir barnen troende , och det kan vara så att barnen är föräldrarnas förlängda arm och att de har fostrats in i tron att de inte ska visa svaghet för sina föräldrar .",168-175,168-176,förlänga--förlängda,L-Der,"Dari, Persiska",Avancerad,train
708,"Dessutom kan man lära sig av dessa litterära verk att föräldrar som kommer in i en ny kultur och tradition försöker hålla kvar sin gamla gamla tradition och kultur , och i de flesta fall så anstränger de sina barn med våld och påtryckningar att följa samma regler , vilket kan vara olagligt .","Dessutom kan man lära sig av dessa litterära verk att föräldrar som kommer in i en ny kultur och tradition försöker hålla kvar sin gamla gamla tradition och kultur , och i de flesta fall så påverkar de sina barn med våld och påtryckningar att följa samma regler , vilket kan vara olagligt .",190-199,190-197,anstränger--påverkar,L-W,"Dari, Persiska",Avancerad,train
709,"Dessutom kan man lära sig av dessa litterära verk att föräldrar som kommer in i en ny kultur och tradition försöker hålla kvar sin gamla gamla tradition och kultur , och i de flesta fall så påverkar de sina barn med våld och tryck att följa samma regler , vilket kan vara olagligt .","Dessutom kan man lära sig av dessa litterära verk att föräldrar som kommer in i en ny kultur och tradition försöker hålla kvar sin gamla gamla tradition och kultur , och i de flesta fall så påverkar de sina barn med våld och påtryckningar att följa samma regler , vilket kan vara olagligt .",225-229,225-237,tryck--påtryckningar,L-Der,"Dari, Persiska",Avancerad,train
710,"Det är lärorikt och lär oss att länderna i världen är olika , vissa av dem är sekulära och har bra ekonomi , ett bra samhälle , och har inte så höga förväntningar av sina barn , och vissa är traditionella och där har föräldrarna stora förväntningar på sina barn , vilket kan ha effekt på deras liv .","Det är lärorikt och lär oss att länderna i världen är olika , vissa av dem är sekulära och har bra ekonomi , ett bra samhälle , och har inte så höga förväntningar på sina barn , och vissa är traditionella och där har föräldrarna stora förväntningar på sina barn , vilket kan ha effekt på deras liv .",163-164,163-164,av--på,L-W,"Dari, Persiska",Avancerad,train
711,"Det är lärorikt och lär oss att länderna i världen är olika , vissa av dem är sekulära och har bra ekonomi , ett bra samhälle , och har inte så höga förväntningar på sina barn , och vissa är traditionella och där har föräldrarna stora förväntningar av sina barn , vilket kan ha effekt på deras liv .","Det är lärorikt och lär oss att länderna i världen är olika , vissa av dem är sekulära och har bra ekonomi , ett bra samhälle , och har inte så höga förväntningar på sina barn , och vissa är traditionella och där har föräldrarna stora förväntningar på sina barn , vilket kan ha effekt på deras liv .",249-250,249-250,av--på,L-W,"Dari, Persiska",Avancerad,train
712,"I avslutning vill jag säga att med litteratur kan vi uppleva saker som de flesta ( våra förfäder ) inte har upplevt , och detta kan öva upp vår empatiska förmåga genom att det låter oss utforska och läsa någon annans tankar , speciellt Amars pappas tankar .","Som avslutning vill jag säga att med litteratur kan vi uppleva saker som de flesta ( våra förfäder ) inte har upplevt , och detta kan öva upp vår empatiska förmåga genom att det låter oss utforska och läsa någon annans tankar , speciellt Amars pappas tankar .",0-0,0-2,I--Som,L-W,"Dari, Persiska",Avancerad,train
713,"Som avslutning vill jag säga att med litteratur kan vi uppleva saker som de flesta ( våra förfäder ) inte har upplevt , och detta kan öva upp vår empatiska förmåga genom att det låter oss forska och läsa någon annans tankar , speciellt Amars pappas tankar .","Som avslutning vill jag säga att med litteratur kan vi uppleva saker som de flesta ( våra förfäder ) inte har upplevt , och detta kan öva upp vår empatiska förmåga genom att det låter oss utforska och läsa någon annans tankar , speciellt Amars pappas tankar .",188-193,188-195,forska--utforska,L-Der,"Dari, Persiska",Avancerad,train
714,"Litteraturen kan även bilda världar som vi kan lära oss goda saker av , vi kan dyka in i en annan värld , och det kan till och med få oss i kontakt med vår fantasivärld och våra känslor .","Litteraturen kan även skapa världar som vi kan lära oss goda saker av , vi kan dyka in i en annan värld , och det kan till och med få oss i kontakt med vår fantasivärld och våra känslor .",22-26,22-26,bilda--skapa,L-W,"Dari, Persiska",Avancerad,train
715,"Litteraturen kan även skapa världar som vi kan lära oss goda saker av , vi kan dyka in i en annan värld , och det kan till och med få oss i kontakt med vår fantasi värld och våra känslor .","Litteraturen kan även skapa världar som vi kan lära oss goda saker av , vi kan dyka in i en annan värld , och det kan till och med få oss i kontakt med vår fantasivärld och våra känslor .",156-168,156-167,fantasi värld--fantasivärld,O-Comp,"Dari, Persiska",Avancerad,train
716,"Dessutom , som mamma brukar säga , är litteraturen som vatten i världen , den kan aldrig ta slut och man kan lära sig mycket av den vilket är utnyttjbar i hela livet ifall man lär sig mycket .","Dessutom , som mamma brukar säga , är litteraturen som vatten i världen , den kan aldrig ta slut och man kan lära sig mycket av den vilket är användbart i hela livet ifall man lär sig mycket .",142-151,142-151,utnyttjbar--användbart,L-W,"Dari, Persiska",Avancerad,train
717,Min man var min lärare på universitetet för 3 månader och han kände någonting för mig men det visste jag inte .,Min man var min lärare på universitetet i 3 månader och han kände någonting för mig men det visste jag inte .,40-42,40-40,för--i,L-W,Turkiska,Nybörjare,train
718,Min man var min lärare på universitetet i 3 månader och han känslade någonting för mig men det visste jag inte .,Min man var min lärare på universitetet i 3 månader och han kände någonting för mig men det visste jag inte .,60-67,60-64,känslade--kände,L-Der,Turkiska,Nybörjare,train
719,Min man var min lärare på universitetet i 3 månader och han kände någonting om mig men det visste jag inte .,Min man var min lärare på universitetet i 3 månader och han kände någonting för mig men det visste jag inte .,76-77,76-78,om--för,L-W,Turkiska,Nybörjare,train
720,"Efter tre månader ville han tala med mig , så jag blev överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .","Efter tre månader ville han tala med mig , och jag blev överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .",43-44,43-45,så--och,L-W,Turkiska,Nybörjare,train
721,"Efter tre månader ville han tala med mig , och jag var överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .","Efter tre månader ville han tala med mig , och jag blev överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .",51-53,51-54,var--blev,L-W,Turkiska,Nybörjare,train
722,"Efter tre månader ville han tala med mig , och jag blev suprizd först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .","Efter tre månader ville han tala med mig , och jag blev överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .",56-62,56-65,suprizd--överraskad,L-FL,Turkiska,Nybörjare,train
723,"Efter tre månader ville han tala med mig , och jag blev överraskad först , fast efter några dagar känslade det bättre och jag förstod att jag älskade honom .","Efter tre månader ville han tala med mig , och jag blev överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .",98-105,98-103,känslade--kändes,L-Der,Turkiska,Nybörjare,train
724,Det var den första och bästa kärleken på mitt liv .,Det var den första och bästa kärleken i mitt liv .,38-39,38-38,på--i,L-W,Turkiska,Nybörjare,train
725,Nu är jag 36 år och vi bor tillsammans och vi har två barn och vi är mycket lycken .,Nu är jag 36 år och vi bor tillsammans och vi har två barn och vi är mycket lyckliga .,76-81,76-83,lycken--lyckliga,L-Der,Turkiska,Nybörjare,train
726,Första gången vi träffades var i en bröllopsfest .,Första gången vi träffades var på en bröllopsfest .,31-31,31-32,i--på,L-W,Dari,Nybörjare,train
727,Första gången vi träffades var på en bröllop fest .,Första gången vi träffades var på en bröllopsfest .,37-48,37-48,bröllop fest--bröllopsfest,L-Der,Dari,Nybörjare,train
728,Första gången vi träffades var på en bröllop fest .,Första gången vi träffades var på en bröllopsfest .,37-48,37-48,bröllop fest--bröllopsfest,O-Comp,Dari,Nybörjare,train
729,Vi träffades varannan dag på nån park eller på nån restaurang .,Vi träffades varannan dag i nån park eller på nån restaurang .,26-27,26-26,på--i,L-W,Dari,Nybörjare,train
730,␤ Nu också älskar vi varandra och har bestämt att vara med varandra hela livet .,␤ Fortfarande älskar vi varandra och har bestämt att vara med varandra hela livet .,2-9,2-12,Nu också--Fortfarande,L-W,Dari,Nybörjare,train
731,Efter bestämde han sig för att resa men ett bra läge för för mig var det inte det .,Sedan bestämde han sig för att resa men ett bra läge för för mig var det inte det .,0-4,0-4,Efter--Sedan,L-W,Kurdiska,Nybörjare,train
732,i den tiden kunde jag inte resa med honom .,På den tiden kunde jag inte resa med honom .,0-0,0-1,i--På,L-W,Kurdiska,Nybörjare,train
733,"Vi lämnade varandra , det var den bästa lösa .","Vi lämnade varandra , det var den bästa lösningen .",40-43,40-48,lösa--lösningen,L-Der,Kurdiska,Nybörjare,train
734,Jag och min kär gick i en klass i skolan .,Jag och min kärlek gick i en klass i skolan .,12-14,12-17,kär--kärlek,L-Der,Dari,Nybörjare,train
735,Jag och min kärlek var i en klass i skolan .,Jag och min kärlek gick i en klass i skolan .,19-21,19-22,var--gick,L-W,Dari,Nybörjare,train
736,I alla fall väntade jag på honom för fyra år .,I alla fall väntade jag på honom i fyra år .,33-35,33-33,för--i,L-W,Dari,Nybörjare,train
737,"Jag bodde i en annan stad som låg 800 km norra om hennes stad , men jag brukade resa dit varje helg för jag ville träffa henne .","Jag bodde i en annan stad som låg 800 km norr om hennes stad , men jag brukade resa dit varje helg för jag ville träffa henne .",41-45,41-44,norra--norr,L-Der,Kurdiska,Nybörjare,train
738,Jag träffade min älskare för 4 år sedan vid bröllopet till hans vän och min bästa vän i A-land .,Jag träffade min älskare för 4 år sedan vid bröllopet mellan hans vän och min bästa vän i A-land .,54-57,54-59,till--mellan,L-W,Arabiska,Nybörjare,train
739,Jag träffade min älskare för 4 år sedan vid bröllopet mellan hans vän och min favoritvän i A-land .,Jag träffade min älskare för 4 år sedan vid bröllopet mellan hans vän och min bästa vän i A-land .,78-87,78-86,favoritvän--bästa vän,L-W,Arabiska,Nybörjare,train
740,Vi satt ner med några på bröllopsbordet på middagen .,Vi satt ner med några vid bröllopsbordet på middagen .,22-23,22-24,på--vid,L-W,Arabiska,Nybörjare,train
741,Vi satt ner med några vid bröllopsbordet i middagen .,Vi satt ner med några vid bröllopsbordet på middagen .,41-41,41-42,i--på,L-W,Arabiska,Nybörjare,train
742,Efter 3 år lämnade jag allt och gick till honom i Sverige .,Efter 3 år lämnade jag allt och åkte till honom i Sverige .,32-35,32-35,gick--åkte,L-W,Arabiska,Nybörjare,train
743,Jag föreställde mig en vacker framtid bredvid honom men chocken var stark .,Jag föreställde mig en vacker framtid med honom men chocken var stark .,38-44,38-40,bredvid--med,L-W,Arabiska,Nybörjare,train
744,Jag hade så mycket velat skriva en vacker sluthistoria men jag tror att kärlek sällan inträffar .,Jag hade så gärna velat skriva en vacker sluthistoria men jag tror att kärlek sällan inträffar .,12-17,12-16,mycket--gärna,L-W,Arabiska,Nybörjare,train
745,␤ Båda jag och han var i musikaffären samtidigt och när jag letade efter en CD hjälpte han mig .,␤ Både jag och han var i musikaffären samtidigt och när jag letade efter en CD hjälpte han mig .,2-5,2-5,Båda--Både,L-Der,Arabiska,Nybörjare,train
746,Så vi pratade om musik och våra bästa sjungarer .,Så vi pratade om musik och våra bästa sångare .,38-46,38-44,sjungarer--sångare,L-W,Arabiska,Nybörjare,train
747,Jag hade emotskänslor fast jag hade väntat mig det .,Jag hade motstridiga känslor fast jag hade väntat mig det .,9-20,9-27,emotskänslor--motstridiga känslor,L-W,Arabiska,Nybörjare,train
748,Vi promenerade tillsammans varje kväll och vi pratade på alla saker .,Vi promenerade tillsammans varje kväll och vi pratade om alla saker .,54-55,54-55,på--om,L-W,Arabiska,Nybörjare,train
749,Efter 3 år gifte vi oss och nu har vi tre barn samt vi är en jätteglad familj .,Efter 3 år gifte vi oss och nu har vi tre barn och vi är en jätteglad familj .,47-50,47-49,samt--och,L-W,Arabiska,Nybörjare,train
750,Efter 3 år gifte vi oss och nu har vi tre barn och vi är en jätte glag familj .,Efter 3 år gifte vi oss och nu har vi tre barn och vi är en jätteglad familj .,60-69,60-68,jätte glag--jätteglad,O-Comp,Arabiska,Nybörjare,train
751,Vi var klasskamrater tills grundskolan och sedan reste min vän till ett avlägset land .,Vi var klasskamrater till och med grundskolan och sedan reste min vän till ett avlägset land .,21-25,21-32,tills--till och med,L-W,Kurdiska,Nybörjare,train
752,Jag började relatera mycket med honom och han är också som mig .,Jag började relatera mycket till honom och han är också som mig .,28-30,28-31,med--till,L-W,Kurdiska,Nybörjare,train
753,Men det är svårt att vara fascinerad i någon .,Men det är svårt att vara fascinerad av någon .,37-37,37-38,i--av,L-W,Arabiska,Nybörjare,train
754,"Sedan sade hon till mig att hon ville säga någonting , och att det var jätte viktigt att gå på ett kafé så att vi kunde prata face to face , så vi planerade att gå ut till ett kafé .","Sedan sade hon till mig att hon ville säga någonting , och att det var jätteviktigt att gå på ett kafé så att vi kunde prata face to face , så vi planerade att gå ut till ett kafé .",71-83,71-82,jätte viktigt--jätteviktigt,O-Comp,Arabiska,Nybörjare,train
755,"Jag vet inte att det var blyghet eller glädje , men jag vet att det var en skön känsla .","Jag vet inte om det var blyghet eller glädje , men jag vet att det var en skön känsla .",13-15,13-14,att--om,L-W,Arabiska,Nybörjare,train
